feature,importance_14min,importance_28min,importance_avg
z_comp_mean,0.024584295,0.016792176,0.020688236
z_comp_max,0.023196205,0.016838577,0.020017391
mahalanobis_approx,0.025440326,0.014548042,0.019994184
t_slope,0.017141081,0.022751635,0.01994636
a_recent_slope,0.016234957,0.020701736,0.018468346
t_wasserstein,0.019084956,0.016759655,0.017922305
t_recent_slope,0.014670627,0.020487934,0.01757928
corr_at,0.013414359,0.021459505,0.017436933
rpm_mean,0.017025845,0.017193783,0.017109815
days_to_next_service,0.014808654,0.01915655,0.016982602
a_trend_r2,0.016728561,0.016666632,0.016697597
thermal_mean,0.016708879,0.016561309,0.016635094
v_trend_r2,0.014338629,0.018595327,0.016466979
historical_fault_rate,0.017451882,0.015414785,0.016433334
a_accel,0.014556168,0.018283155,0.01641966
a_wasserstein,0.013037398,0.019651912,0.016344655
a_volatility_max,0.015675493,0.016962307,0.016318899
last_temperature,0.014090583,0.018399725,0.016245153
v_volatility,0.01459036,0.017821746,0.016206052
a_mean,0.015954506,0.016408678,0.016181592
z_t_mean,0.018366946,0.013767047,0.016066996
v_wasserstein,0.01673842,0.014841003,0.015789712
a_volatility,0.014450412,0.017119534,0.015784973
a_slope,0.014473297,0.017081672,0.015777484
daily_output,0.014905675,0.01659939,0.015752533
efficiency_mean,0.013192059,0.017485708,0.015338883
v_std,0.014905773,0.015668549,0.015287161
v_recent_slope,0.015758516,0.014770353,0.015264435
window_fault_ratio,0.014044762,0.016436957,0.015240859
thermal_change,0.013909749,0.016442357,0.015176052
t_trend_r2,0.01630894,0.0138039,0.01505642
cost_at_risk,0.015017286,0.015037988,0.015027637
v_mean,0.015276582,0.014699665,0.014988123
a_range,0.014637097,0.015097178,0.014867137
last_power,0.014301451,0.015404986,0.014853219
v_volatility_max,0.014855872,0.014362416,0.014609144
last_amperage,0.013711655,0.015458625,0.014585139
t_mean,0.013312267,0.015698297,0.014505282
t_volatility_max,0.0148434015,0.014099305,0.014471353
power_mean,0.014642682,0.014221342,0.014432012
t_range,0.013737335,0.014931062,0.014334198
current_fault_type,0.013758716,0.014744592,0.014251654
steps_since_last_fault,0.013288395,0.01506213,0.014175262
thermal_max,0.014490977,0.013462938,0.013976958
corr_vt,0.013232757,0.014625424,0.01392909
window_normal_count,0.012728235,0.014491582,0.0136099085
t_accel,0.013758799,0.013438447,0.013598623
unit_cost,0.013294825,0.013882076,0.013588451
corr_va,0.013389037,0.0136392815,0.013514159
t_std,0.013576388,0.013390494,0.0134834405
v_accel,0.014393362,0.012445236,0.013419298
z_v_max,0.013571389,0.013191894,0.013381641
z_a_mean,0.014888504,0.011685389,0.013286946
machine_age_months,0.015007804,0.01150633,0.013257068
v_slope,0.014604094,0.011669643,0.013136869
power_trend,0.013983624,0.012190199,0.013086911
v_range,0.012399765,0.013486883,0.012943324
last_voltage,0.015001719,0.0108133005,0.01290751
days_since_service,0.012949735,0.01254049,0.012745112
z_v_mean,0.013107142,0.012372275,0.012739709
days_since_repair,0.013157311,0.011777519,0.012467415
last_thermal,0.013555936,0.011368405,0.012462171
rpm_std,0.012676784,0.012190436,0.01243361
t_volatility,0.012975184,0.01133683,0.012156008
a_std,0.013201766,0.009522154,0.01136196
window_fault_diversity,0.011140706,0.010683604,0.010912155
current_is_normal,0.011743044,0.0,0.005871522
v_boundary_viol_pct,0.0,0.0,0.0
a_boundary_viol_pct,0.0,0.0,0.0
a_above_p99,0.0,0.0,0.0
a_below_p01,0.0,0.0,0.0
t_boundary_viol_pct,0.0,0.0,0.0
t_above_p99,0.0,0.0,0.0
t_below_p01,0.0,0.0,0.0
v_above_p99,0.0,0.0,0.0
v_below_p01,0.0,0.0,0.0
has_quality_data,0.0,0.0,0.0
n_measurements,0.0,0.0,0.0
above_spec_rate,0.0,0.0,0.0
below_spec_rate,0.0,0.0,0.0
param_deviation_max,0.0,0.0,0.0
param_deviation_mean,0.0,0.0,0.0
n_products,0.0,0.0,0.0
total_failed,0.0,0.0,0.0
max_failed_tests,0.0,0.0,0.0
avg_failed_tests,0.0,0.0,0.0
thermal_alarm_count,0.0,0.0,0.0
thermal_warning_count,0.0,0.0,0.0
test_pass_rate,0.0,0.0,0.0
fail_rate_per_product,0.0,0.0,0.0
