fold,train_end_step,test_window_start,test_window_end,n_train_samples,n_test_samples,n_machines_tested,tp,fp,tn,fn,precision,recall,f1,fpr,test_fault_rate
1,10,11,11,1100,100,100,49,11,15,25,0.8167,0.6622,0.7313,0.4231,0.74
2,11,12,12,1200,100,100,45,15,10,30,0.75,0.6,0.6667,0.6,0.75
3,12,13,13,1300,100,100,37,16,8,39,0.6981,0.4868,0.5736,0.6667,0.76
4,13,14,14,1400,100,100,46,6,13,35,0.8846,0.5679,0.6917,0.3158,0.81
5,14,15,15,1500,100,100,35,17,14,34,0.6731,0.5072,0.5785,0.5484,0.69
6,15,16,16,1600,100,100,41,12,16,31,0.7736,0.5694,0.656,0.4286,0.72
7,16,17,17,1700,100,100,39,13,10,38,0.75,0.5065,0.6047,0.5652,0.77
8,17,18,18,1800,100,100,35,11,13,41,0.7609,0.4605,0.5738,0.4583,0.76
9,18,19,19,1900,100,100,41,9,13,37,0.82,0.5256,0.6406,0.4091,0.78
10,19,20,20,2000,100,100,36,21,13,30,0.6316,0.5455,0.5854,0.6176,0.66
11,20,21,21,2100,100,100,37,16,13,34,0.6981,0.5211,0.5968,0.5517,0.71
12,21,22,22,2200,100,100,44,11,7,38,0.8,0.5366,0.6423,0.6111,0.82
13,22,23,23,2300,100,100,41,8,17,34,0.8367,0.5467,0.6613,0.32,0.75
14,23,24,24,2400,100,100,40,14,6,40,0.7407,0.5,0.597,0.7,0.8
15,24,25,25,2500,100,100,47,13,13,27,0.7833,0.6351,0.7015,0.5,0.74
16,25,26,26,2600,100,100,41,17,10,32,0.7069,0.5616,0.626,0.6296,0.73
17,26,27,27,2700,100,100,40,18,7,35,0.6897,0.5333,0.6015,0.72,0.75
18,27,28,28,2800,100,100,44,9,13,34,0.8302,0.5641,0.6718,0.4091,0.78
19,28,29,29,2900,99,99,39,12,22,26,0.7647,0.6,0.6724,0.3529,0.6566
