stage,from_level,to_level,conditional_prob,ci_lower,ci_upper,lift_ratio,n_observed,data_source
T→S,近期保养(<35d),参数稳定,0.5854,0.441,0.7297,1.171,41.0,100台全量(LOG+SUMMARY)
T→S,近期保养(<35d),参数不稳定,0.4146,0.2703,0.559,0.829,41.0,100台全量(LOG+SUMMARY)
T→S,中期保养(35-70d),参数稳定,0.3871,0.2249,0.5493,0.774,31.0,100台全量(LOG+SUMMARY)
T→S,中期保养(35-70d),参数不稳定,0.6129,0.4507,0.7751,1.226,31.0,100台全量(LOG+SUMMARY)
T→S,远期保养(>70d),参数稳定,0.5,0.3263,0.6737,1.0,28.0,100台全量(LOG+SUMMARY)
T→S,远期保养(>70d),参数不稳定,0.5,0.3263,0.6737,1.0,28.0,100台全量(LOG+SUMMARY)
S→Q,参数稳定,低超规格率,0.5,0.2152,0.7848,0.938,8.0,15台子集(含产品测试数据) ⚠小样本
S→Q,参数稳定,高超规格率,0.5,0.2152,0.7848,1.071,8.0,15台子集(含产品测试数据) ⚠小样本
S→Q,参数不稳定,低超规格率,0.5714,0.2758,0.8671,1.071,7.0,15台子集(含产品测试数据) ⚠小样本
S→Q,参数不稳定,高超规格率,0.4286,0.1329,0.7242,0.918,7.0,15台子集(含产品测试数据) ⚠小样本
combined,近期保养(<35d),低超规格率,0.5296,0.2515,0.8077,,,级联合成估计(T→S:100台 + S→Q:15台)
combined,近期保养(<35d),高超规格率,0.4704,0.1982,0.7426,,,级联合成估计(T→S:100台 + S→Q:15台)
combined,中期保养(35-70d),低超规格率,0.5438,0.2515,0.8361,,,级联合成估计(T→S:100台 + S→Q:15台)
combined,中期保养(35-70d),高超规格率,0.4562,0.1712,0.7412,,,级联合成估计(T→S:100台 + S→Q:15台)
combined,远期保养(>70d),低超规格率,0.5357,0.2469,0.8245,,,级联合成估计(T→S:100台 + S→Q:15台)
combined,远期保养(>70d),高超规格率,0.4643,0.1841,0.7444,,,级联合成估计(T→S:100台 + S→Q:15台)
